Activity Id,Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
a87339a7-0e2d-4dc8-b593-8c445ff08567,2021-12-25 17:28:13,Running,,3.92,42:25,10:49,5.54,524.0,30,,"","",2021-12-25-172813.gpx
a95a1683-1302-48fb-a6b0-4ffa22b97f05,2021-12-23 10:18:24,Running,,10.07,1:37:15,9:39,6.21,1400.0,214,,"","",2021-12-23-101824.gpx
95a8f8ca-2d99-4dc3-8d36-b9ef9fbd6371,2021-12-17 18:22:12,Running,,0.00,0:00,,,0.0,0,,"","",
eebe6d93-7635-40de-be2e-ebc23bf6330d,2021-12-17 08:18:51,Running,,5.07,54:15,10:42,5.61,698.0,87,,"","",2021-12-17-081851.gpx
37d7473a-559d-4f19-94b0-829adec61a13,2021-12-16 08:21:30,Running,,6.40,1:06:30,10:24,5.77,876.0,90,,"","",2021-12-16-082130.gpx
f8417325-4310-4200-a59a-1bb2cb81c8a2,2021-12-15 08:21:19,Running,,5.42,57:06,10:32,5.70,744.0,68,,"","",2021-12-15-082119.gpx
36ae69ae-e25d-4caf-a9fc-4d4d64201f7a,2021-12-13 08:50:14,Running,,3.42,35:44,10:26,5.75,468.0,27,,"","",2021-12-13-085014.gpx
cf6e5f0c-02ea-4090-94c2-f0d4d0392c66,2021-12-12 08:53:21,Running,,7.17,1:15:07,10:29,5.72,993.0,130,,"","",2021-12-12-085321.gpx
f2dee848-6e8a-4e7f-9cf5-6de8242dbac0,2021-12-10 08:57:29,Running,,2.23,27:09,12:10,4.93,284.0,15,,"","",2021-12-10-085729.gpx
5b4f65c3-f5b3-48f3-8ad4-cbd27ea86898,2021-12-09 10:49:31,Running,,4.45,46:14,10:23,5.78,605.0,36,,"","",2021-12-09-104931.gpx
fa77ae59-b889-4bc1-bda4-c6775956840f,2021-12-06 09:18:06,Running,,4.42,45:34,10:19,5.82,592.0,63,,"","",2021-12-06-091806.gpx
ad3210ad-575d-4045-b122-90c4271579a9,2021-12-05 15:33:35,Running,,4.39,52:36,11:59,5.01,565.0,62,,"","",2021-12-05-153335.gpx
d384e98e-2bd4-4459-bdf5-d4a658473d4e,2021-12-04 08:35:58,Running,,4.56,50:06,10:59,5.46,599.0,36,,"","",2021-12-04-083558.gpx
4478f279-0a73-4a09-b3bd-f7b1b8c71973,2021-12-03 12:00:13,Running,,2.51,34:07,13:37,4.41,314.0,19,,"","",2021-12-03-120013.gpx
558dee2f-36d1-4901-8265-28f3b9f75daa,2021-12-02 18:40:04,Running,,0.05,0:11,3:55,15.32,3.0,0,,"","",2021-12-02-184004.gpx
